ページリンク,企画番号,ジャンル,投票部門,参加団体名,企画名（20文字以内）,実施日,開始時間,終了時間,キャッチフレーズ（15文字以内）,企画内容（40文字以内）,撮影可否,SNSアカウント,イメージ図,備考
https://meidaisai.jp/138/participants/entrance/e002.php,e002,ダンス,musicdance,アイドルコピーダンスチームna-nam,na-nam special stage 2022,31日,11:40,12:10,あなたの心に虹をかけます！,3年ぶりに帰ってきた明大祭スペシャルステージ！,可,"Instagram　@nanam_meiji
Twitter　@nanam_ud2016",,
https://meidaisai.jp/138/participants/entrance/e003.php,e003,音楽,musicdance,アカペラサークルamour,アカペラ LIVE！ ～ボンジュール～,30日,13:30,14:30,一緒に音楽エンジョイしよ？,あんな曲やこんな曲をアカペラします！一緒に楽しみましょう！,可,なし,,
https://meidaisai.jp/138/participants/entrance/e004.php,e004,音楽,musicdance,アカペラサークルSound Arts,Anthem~希望の音楽~,29日,16:05,16:45,楽器が無くてもうたい続ける,オーディションを勝ち抜いた３つのバンドによるアカペラ演奏を行います。,可,なし,,
https://meidaisai.jp/138/participants/entrance/e005.php,e005,音楽,musicdance,Oちゃんズ,O-chans' The Stage 2022,31日,12:40,13:10,楽しく演奏！,バンドによる演奏とMC,可,なし,,
https://meidaisai.jp/138/participants/entrance/e006.php,e006,ダンス,musicdance,K-POPカバーダンスサークル Mercie,Mercie COUNTDOWN 2022①,29日,14:35,15:35,KPOPアイドルに会いに行こう,KPOPのカバーダンスを披露します！こだわった衣装にもご注目ください！,可,"Twitter : @mercie0409
Instagram : @merciemeiji",,
https://meidaisai.jp/138/participants/entrance/e007.php,e007,ダンス,musicdance,Copia,Copia LIVE2022,30日,16:30,16:50,明大祭でもCopiaらしく,女性アイドルコピーダンス,可,"インスタID：copicopicopia_11th
Twitter：@copicopicopia",,
https://meidaisai.jp/138/participants/entrance/e008.php,e008,ダンス,musicdance,Copia OG 令,Copia10代目復活ライブ,30日,12:30,13:00,ただいま！明大祭！,様々なアイドルの曲をパフォーマンスします♡一緒に盛り上がりましょう♡,可,球、独楽、箱…を自由自在に！,,
https://meidaisai.jp/138/participants/entrance/e009.php,e009,エンターテイメント,guestentertain,ジャグリングサークルDietz,We are new ジャグラー！,31日,13:40,14:20,球、独楽、箱…を自由自在に！,新入部生がこれまでの練習の成果をジャグリングの演技で披露します！,可,"twitter：https://twitter.com/meiji_juggling 
YouTube：https://www.youtube.com/channel/UCdqB_MxtZC2CDZ-kov9KO8Q 
Instagram：https://www.instagram.com/meiji_dietz/",,
https://meidaisai.jp/138/participants/entrance/e010.php,e010,ダンス,musicdance,明治大学体育同好会連合会チアリーディングチーム・JAGUARS,JAGUARS SHOW TIME ‼︎,30日,11:00,12:00,元気・勇気・笑顔をお届け！,迫力のあるチアリーディング演技で、皆さんに「元気、勇気、笑顔」を届けます！,否,"TikTok  jaguars jaguars
Instagram  jaguars_meiji
Twitter  @meiji_jaguars",,
https://meidaisai.jp/138/participants/entrance/e011.php,e011,ダンス,musicdance,男子チアリーディングチームANCHORS,魅せろ！俺らの恥アリーディング！！,31日,11:00,11:10,男の全力開脚で観客メロメロ♡,今年でチア男子を引退してしまう3年生。。パワフルなチアで楽しませます！,可,"Twitter：@anchors_meiji
 Instagram：anchors_meiji 
TikTok：anchors_meiji",,
https://meidaisai.jp/138/participants/entrance/e012.php,e012,ダンス,musicdance,中野ダンスサークルSIGN,SIGN dance showcase'22 vol.1,29日,12:15,13:15,私たちの輝きご覧あれ！,様々なジャンルのダンスを披露します！,可,＠sign_dance,,
https://meidaisai.jp/138/participants/entrance/e013.php,e013,ダンス,musicdance,フラッシュモ部,笑顔お届け隊～Send happiness～,29日,13:50,14:05,非日常から溢れる笑顔の連鎖,笑顔溢れる素敵なパフォーマンスとフラッシュモブをお楽しみください！,可,"Instagram→meiji_mob
Twitter→MeijiFlashmob
TikTok→meijiflashmob",,
https://meidaisai.jp/138/participants/entrance/e014.php,e014,エンターテイメント,guestentertain,明治大学応援団,あおはる☆応援団プレミアムお祭りステージ!!,31日,16:00,16:30,青春捧げし我らの熱い想いよ＿。,あなたを大迫力の演奏、華やかなダンス、魂の声と拍手で応援させて下さい！,否,なし,,
https://meidaisai.jp/138/participants/entrance/e015.php,e015,ダンス,musicdance,Mercie OBOG,Mercie OBOG公演,31日,14:50,15:30,OBOGによる最後のステージ,K-POPアイドルのカバーダンスを5曲披露します。,可,なし,,